문제,정답,해설
"후단 경합범이란 금고 이상의 형에 처한 판결이 확정된 죄와 그 판결확정 전에 범한 죄를 가리키는데, 여기서 말하는 판결에는 집행유예 판결도 포함된다.",O,형법 제37조 후단의 경합범에 있어서 판결이 확정된 죄라 함은 수개의 독립한 죄중의 어느죄에 대하여 확정판결이 있었던 경우를 의미하며 여기에서의 확정판결에는 집행유예의 판결과 선고유예의 판결도 포함되고 집행유예의 선고나 형의 선고유예를 받은 후 그 유예기간이 경과하여 형의 선고가 실효되었거나 면소된 것으로 간주되었다 하더라도 마찬가지라고 할 것이다(92도1417).
확정판결이 있는 죄에 대하여 일반사면이 있는 경우는 형의 선고효력이 상실되지만 그 죄에 대한 확정판결이 있었던 사실 자체는 인정되므로 그 확정판결 이전에 범한 죄와의 관계에서 후단 경합범이 성립한다.,O,"사면법 제5조 제1항 제1호 소정의 '일반사면은 형의 언도의 효력이 상실된다.'는 의미는 형법 제65조 소정의 '형의 선고는 효력을 잃는다.'는 의미와 마찬가지로 단지 형의 선고의 법률적 효과가 없어진다는 것일 뿐 형의 선고가 있었다는 기왕의 사실 자체의 모든 효과까지 소멸한다는 뜻은 아니다(당원 1983. 4. 2.자 83모8 결정 참조).
 따라서 확정판결의 죄에 대하여 일반사면이 있다 하더라도 일사부재리의 효력 등은 여전히 계속 존속하는 것이고, 확정판결이 있었던 사실에 의하여 그 전의 죄와 후의 죄 등이 형법 제37조 후단의 경합범관계에 있었다고 하는 효과도 일반사면에 의하여 좌우되는 것은 아니라 할 것이다(95도2446)."
포괄일죄로 되는 개개의 범죄행위가 다른 종류의 죄의 확정판결 전후에 걸쳐서 행하여진 경우에는 그 죄는 2죄로 분리되지 않고 확정판결 후인 최종의 범죄행위시에 완성되므로 후단 경합범에 해당하지 않는다.,O,"사기죄에 있어서 동일한 피해자에 대하여 수회에 걸쳐 기망행위를 하여 금원을 편취한 경우, 그 범의가 단일하고 범행 방법이 동일하다면 사기죄의 포괄일죄만이 성립한다 할 것이고, 포괄일죄는 그 중간에 별종의 범죄에 대한 확정판결이 끼어 있어도 그 때문에 포괄적 범죄가 둘로 나뉘는 것은 아니라 할 것이고, 또 이 경우에는 그 확정판결 후의 범죄로서 다루어야 한다(2002도2029)."
"판결을 받지 아니한 수개의 죄가 판결확정을 전후하여 저질러진 경우 판결확정 전에 범한 죄를 이미 판결이 확정된 죄와 동시에 판결할 수 없었던 경우라면, 판결확정을 전후한 각각의 범죄는 ｢형법｣ 제37조 후단 경합범이 아니라 전단 경합범에 해당하여 하나의 형을 선고하여야 한다.",X,"형법 제37조 후단 및 제39조 제1항의 문언, 입법 취지 등에 비추어 보면, 아직 판결을 받지 아니한 죄가 이미 판결이 확정된 죄와 동시에 판결할 수 없었던 경우에는 형법 제37조 후단의 경합범 관계가 성립할 수 없고 형법 제39조 제1항에 따라 동시에 판결할 경우와 형평을 고려하여 형을 선고하거나 그 형을 감경 또는 면제할 수도 없다고 해석함이 상당하다(대법원 2011. 10. 27. 선고 2009도9948 판결, 대법원 2012. 9. 27. 선고 2012도9295 판결 등 참조). 한편 아직 판결을 받지 아니한 수개의 죄가 판결 확정을 전후하여 저질러진 경우 판결 확정 전에 범한 죄를 이미 판결이 확정된 죄와 동시에 판결할 수 없었던 경우라고 하여 마치 확정된 판결이 존재하지 않는 것처럼 그 수개의 죄 사이에 형법 제37조 전단의 경합범 관계가 인정되어 형법 제38조가 적용된다고 볼 수도 없으므로, 판결 확정을 전후한 각각의 범죄에 대하여 별도로 형을 정하여 선고할 수밖에 없다(대법원 2011. 6. 10. 선고 2011도2351 판결 참조).
 원심판결 이유 및 기록에 의하면, 이 사건 2012. 1. 5.자 및 2012. 1. 17.자 마약류 관리에 관한 법률 위반(향정)죄는 피고인이 서울중앙지방법원에서 같은 죄로 징역 8월에 집행유예 2년을 선고받은 판결이 2012. 2. 29. 확정되기 전에 범한 것이기는 하나, 피고인에게는 위 전과와 별도로 서울중앙지방법원에서 같은 죄 등으로 징역 1년에 집행유예 2년을 선고받아 2011. 11. 26. 판결이 확정된 전과가 있고, 2012. 2. 29. 판결이 확정된 죄는 위 2011. 11. 26. 판결 확정 전에 범한 것이어서 2012. 2. 29. 판결이 확정된 죄와 이 사건 2012. 1. 5.자 및 2012. 1. 17.자 범죄는 처음부터 동시에 판결할 수 없었음을 알 수 있다.
 따라서 2012. 2. 29. 판결이 확정된 죄와 이 사건 2012. 1. 5.자 및 2012. 1. 17.자 범죄 사이에 형법 제37조 후단의 경합범 관계가 성립할 수 없고, 경합범 중 판결을 받지 아니한 죄에 대하여 형을 선고할 때는 그 죄와 판결이 확정된 죄를 동시에 판결할 경우와 형평을 고려하도록 한 형법 제39조 제1항은 여기에 적용될 여지가 없다고 할 것이다. 그렇다고 하여 마치 2012. 2. 29. 확정된 판결이 존재하지 않는 것처럼 이 사건 범죄 중 위 판결 확정 전에 범한 2012. 1. 5.자 및 2012. 1. 17.자 범죄와 위 판결 확정 후에 범한 나머지 범죄 사이에 형법 제37조 전단의 경합범 관계가 인정되어 형법 제38조가 적용된다고 볼 수도 없다. 따라서 이 사건 범죄 중 2012. 1. 5.자 및 2012. 1. 17.자 범죄와 나머지 범죄에 대하여 별도로 형을 정하여 선고할 수밖에 없다(2014도469)."
후단 경합범에 대하여 ｢형법｣ 제39조 제1항에 의하여 형을 감경할 때에도 법률상 감경에 관한 ｢형법｣ 제55조 제1항이 적용되어 유기징역을 감경할 때에는 그 형기의 2분의 1 미만으로는 감경할 수 없다.,O,2017도14609.
"사채업자 A의 채무변제 독촉을 받고 있던 甲은 아들 B(20세)의 상해보험금을 타서 이를 변제하기로 하고 B의 진지한 승낙을 받아 B의 새끼손가락을 절단한 경우, 甲의 상해행위는 위법성이 조각되지 않는다.",O,
"甲은 乙과 말다툼을 하다가 낫을 들고 반항하는 乙로부터 낫을 빼앗아 乙의 가슴, 배, 목 등을 10여 차례 찔러 乙로 하여금 자상으로 사망하게 한 경우, 甲의 행위는 그 정도를 초과한 것으로서 ｢형법｣ 제21조 제2항의 과잉방위에 해당한다.",X,"형법 제21조 소정의 정당방위가 성립하려면 침해행위에 의하여 침해되는 법익의 종류, 정도, 침해의 방법, 침해행위의 완급과 방위행위에 의하여 침해될 법익의 종류, 정도 등 일체의 구체적 사정들을 참작하여 방위행위가 사회적으로 상당한 것이어야 한다(대법원 1992. 12. 22. 선고 92도2540 판결, 2005. 9. 30. 선고 2005도3940, 2005감도15 판결 등 참조).
 원심은 그 채택 증거에 의하여 판시와 같은 사실을 인정한 다음, 피해자가 피고인에게 한 가해의 수단 및 정도, 그에 비교되는 피고인의 행위의 수단, 방법과 행위의 결과 등 제반 사정에 비추어, 피고인의 이 사건 범행행위가 피해자의 피고인에 대한 현재의 부당한 침해를 방위하거나 그러한 침해를 예방하기 위한 행위로 상당한 이유가 있는 경우에 해당한다고 볼 수 없고, 또 피고인의 이 사건 범행행위는 방위행위가 그 정도를 초과한 때에 해당하거나 정도를 초과한 방위행위가 야간 기타 불안스러운 상태하에서 공포, 경악, 흥분 또는 당황으로 인한 때에 해당한다고 볼 수도 없다고 판단하였는바, 앞서 본 법리와 기록에 비추어 살펴보면, 위와 같은 원심의 조치는 옳은 것으로 수긍이 가고, 거기에 상고이유의 주장과 같은 채증법칙 위배로 인한 사실오인이나 정당방위 및 과잉방위에 관한 법리오해의 위법이 있다고 할 수 없다(2007도1794)."
"甲이 스스로 야기한 강간범행의 와중에 피해자 A가 甲의 손가락을 깨물며 반항하자 물린 손가락을 비틀어 잡아 뽑다가 A에게 치아결손의 상해를 입힌 경우, 甲의 행위는 법에 의하여 용인되는 피난행위라 할 수 없다.",O,
"甲이 乙로부터 갑자기 뺨을 맞는 등 폭행을 당하여 서로 멱살을 잡고 다투자 주위 사람들이 싸움을 제지하였으나 甲은 맨손으로 공격하는 乙에게 대항하기 위하여 깨어진 병으로 乙을 찌를 듯이 겨누어 협박한 경우, 甲의 행위는 사회통념상 그 정도를 초과하여 상당성이 결여된 것으로서 정당방위에 해당하지 않는다.",O,"피고인이 피해자로부터 갑작스럽게 뺨을 맞는 등 폭행을 당하여 서로 멱살을 잡고 다투자 주위 사람들이 싸움을 제지하였으나 피해자에게 대항하기 위하여 깨어진 병으로 피해자를 찌를 듯이 겨누어 협박한 경우, 피고인의 행위는 자기의 법익에 대한 현재의 부당한 침해를 방어하기 위한 것이라고 볼 수 있으나, 맨손으로 공격하는 상대방에 대하여 위험한 물건인 깨어진 병을 가지고 대항한다는 것은 사회통념상 그 정도를 초과한 방어행위로서 상당성이 결여된 것이고, 또 주위사람들이 싸움을 제지하였다는 상황에 비추어 야간의 공포나 당황으로 인한 것이었다고 보기도 어렵다(91도80)."
"甲이 불심검문을 받아 경찰관 A에게 운전면허증을 교부한 후 불심검문에 항의하는 과정에서 우발적으로 큰소리로 욕설을 하여 A뿐만 아니라 인근 주민도 그 욕설을 직접 들었던 상황에서, A가 甲을 모욕죄의 현행범으로 체포하려 하자 甲이 이에 반항하는 과정에서 A에게 상해를 입힌 행위는 정당방위에 해당하지 않는다.",X,"피고인이 경찰관의 불심검문을 받아 운전면허증을 교부한 후 경찰관에게 큰 소리로 욕설을 하였는데, 경찰관이 모욕죄의 현행범으로 체포하겠다고 고지한 후 피고인의 오른쪽 어깨를 붙잡자 반항하면서 경찰관에게 상해를 가한 사안에서, 피고인은 경찰관의 불심검문에 응하여 이미 운전면허증을 교부한 상태이고, 경찰관뿐 아니라 인근 주민도 욕설을 직접 들었으므로, 피고인이 도망하거나 증거를 인멸할 염려가 있다고 보기는 어렵고, 피고인의 모욕 범행은 불심검문에 항의하는 과정에서 저지른 일시적, 우발적인 행위로서 사안 자체가 경미할 뿐 아니라, 피해자인 경찰관이 범행현장에서 즉시 범인을 체포할 급박한 사정이 있다고 보기도 어려우므로, 경찰관이 피고인을 체포한 행위는 적법한 공무집행이라고 볼 수 없고, 피고인이 체포를 면하려고 반항하는 과정에서 상해를 가한 것은 불법체포로 인한 신체에 대한 현재의 부당한 침해에서 벗어나기 위한 행위로서 정당방위에 해당한다는 이유로, 피고인에 대한 상해 및 공무집행방해의 공소사실을 무죄로 인정한 원심판단을 수긍한 사례(2011도3682)."
