문제,정답,해설
甲이 乙의 강도예비죄의 범행에 방조의 형태로 가담한 경우 甲을 강도예비죄의 방조범으로 처벌할 수 없다.,O,
"｢형법｣상 음모죄의 성립을 위한 범죄실행의 합의가 있다고 하기 위하여는 단순히 범죄결심을 외부에 표시·전달하는 것만으로는 부족하고, 객관적으로 보아 특정한 범죄의 실행을 위한 준비행위라는 것이 명백히 인식되고, 그 합의에 실질적인 위험성이 인정되어야 한다.",O,
"중지미수의 경우에는 법정형의 상한과 하한 모두를 2분의 1로 감경하는 반면, 장애미수의 경우에는 법익침해의 위험 발생 정도에 따라 법정형에 대한 감경을 하지 않거나 법정형의 하한만 2분의 1로 감경할 수 있다.",X,
"실행의 착수가 있기 전인 예비나 음모의 행위를 처벌하는 경우 중지미수범의 관념을 인정할 수 없으므로, 예비단계에서 범행을 중지하더라도 중지미수범의 규정이 적용될 수 없다.",O,
甲이 피해자가 심신상실 또는 항거불능의 상태에 있다고 인식하고 그러한 상태를 이용하여 간음할 의사로 피해자를 간음하였으나 실행의 착수 당시부터 피해자가 실제로는 심신상실 또는 항거불능의 상태에 있지 않은 경우 甲이 행위 당시에 인식한 사정을 놓고 일반인이 객관적으로 판단하여 보았을 때 준강간의 결과가 발생할 위험성이 있었다면 준강간죄의 불능미수가 성립한다.,O,
"방조범에게 요구되는 정범 등의 고의는 정범에 의하여 실현되는 범죄의 구체적 내용을 인식해야 하는 것은 아니고 미필적 인식이나 예견으로 충분하지만, 이는 정범의 범행 등의 불법성에 대한 인식이 필요하다는 점과 모순되지 않는다.",O,
대향범에 대하여 공범에 관한 형법 총칙 규정이 적용될 수 없다는 법리는 필요적 공범인 대향범뿐만 아니라 구성요건상으로는 단독으로 실행할 수 있는 형식으로 되어 있는데 단지 구성요건이 대향범의 형태로 실행되는 경우에도 적용된다.,X,2인 이상의 서로 대향된 행위의 존재를 필요로 하는 대향범에 대하여 공범에 관한 형법 총칙 규정이 적용될 수 없다. 이러한 법리는 해당 처벌규정의 구성요건 자체에서 2인 이상의 서로 대향적 행위의 존재를 필요로 하는 필요적 공범인 대향범을 전제로 한다. 구성요건상으로는 단독으로 실행할 수 있는 형식으로 되어 있는데 단지 구성요건이 대향범의 형태로 실행되는 경우에도 대향범에 관한 법리가 적용된다고 볼 수는 없다(2020도7866).
"업무라는 신분관계가 없는 자가 그러한 신분관계 있는 자와 공모하여 업무상배임죄를 저질렀다면, 그러한 신분관계가 없는 공범에 대하여는 ｢형법｣ 제33조 단서에 따라 단순배임죄에서 정한 형으로 처단하여야 한다.",O,
"공동정범의 성립을 위한 공동가공의 의사는 타인의 범행을 인식하면서도 이를 제지하지 아니하고 용인하는 것만으로는 부족하고, 공동의 의사로 특정한 범죄행위를 하기 위해 일체가 되어 서로 다른 사람의 행위를 이용하여 자기 의사를 실행에 옮기는 것을 내용으로 하는 것이어야 한다.",O,
"방조범이 성립하려면 방조행위가 정범의 범죄 실현과 밀접한 관련이 있어야 하므로, 정범의 범죄 실현과 밀접한 관련이 없는 행위를 도와준 데 지나지 않는 경우에는 방조범이 성립하지 않는다.",O,
"<아래 〈범죄경력〉 중 1개가 있는 甲이 2023. 11. 10. 아래 〈범죄사실〉중 어느 1개 또는 수개의 죄로 공소제기되어 그 〈범죄사실〉이 인정되었다.
 
 〈범죄경력〉
 Ⓐ 2023. 4. 10. 서울중앙지방법원에서 상습절도죄로 벌금 500만 원을 선고받아 2023. 4. 18. 그 판결이 확정되었다.
 Ⓑ 2023. 5. 10. 서울중앙지방법원에서 절도죄로 징역 6월을 선고받아 2023. 5. 18. 그 판결이 확정되었다.
 
 〈범죄사실〉
 ㉠ 상습으로 2023. 2. 10.경 X 편의점에서 피해자 M 소유의 휴대전화 1대를 가지고 가 이를 절취하였다[상습절도].
 ㉡ 2023. 3. 8.경 Y 커피숍에서 피해자 N에게 “수일 내 유명 가상자산 거래소에 상장되는 가상자산이 있는데, 나에게 돈을 투자하면 수백 배 이상의 수익을 얻을 수 있다”라고 거짓말하여 2023. 3. 10.경 1,000만 원을 피해자 N으로부터 교부받아 이를 편취하였다[사기].
 ㉢ 2023. 6. 10.경 Z 유흥주점에서 피해자 O의 뺨을 수회 때리고 발로 다리를 걷어차 피해자를 폭행하였다[폭행].>
 Ⓐ범죄경력이 있는 甲이 ㉠죄로 기소된 경우, ㉠범죄사실과 Ⓐ범죄사실과의 사이에 동일한 습벽에 의하여 범행을 저질렀다는 점이 인정된다면, ｢형사소송법｣ 제326조 제1호의 면소판결이 선고되어야 한다.",O,
"<아래 〈범죄경력〉 중 1개가 있는 甲이 2023. 11. 10. 아래 〈범죄사실〉중 어느 1개 또는 수개의 죄로 공소제기되어 그 〈범죄사실〉이 인정되었다.
 
 〈범죄경력〉
 Ⓐ 2023. 4. 10. 서울중앙지방법원에서 상습절도죄로 벌금 500만 원을 선고받아 2023. 4. 18. 그 판결이 확정되었다.
 Ⓑ 2023. 5. 10. 서울중앙지방법원에서 절도죄로 징역 6월을 선고받아 2023. 5. 18. 그 판결이 확정되었다.
 
 〈범죄사실〉
 ㉠ 상습으로 2023. 2. 10.경 X 편의점에서 피해자 M 소유의 휴대전화 1대를 가지고 가 이를 절취하였다[상습절도].
 ㉡ 2023. 3. 8.경 Y 커피숍에서 피해자 N에게 “수일 내 유명 가상자산 거래소에 상장되는 가상자산이 있는데, 나에게 돈을 투자하면 수백 배 이상의 수익을 얻을 수 있다”라고 거짓말하여 2023. 3. 10.경 1,000만 원을 피해자 N으로부터 교부받아 이를 편취하였다[사기].
 ㉢ 2023. 6. 10.경 Z 유흥주점에서 피해자 O의 뺨을 수회 때리고 발로 다리를 걷어차 피해자를 폭행하였다[폭행].>
 Ⓑ범죄경력이 있는 甲이 ㉠죄로 기소된 경우, ㉠범죄사실과 Ⓑ범죄사실과의 사이에 동일한 습벽에 의하여 범행을 저질렀다는 점이 인정되더라도, ｢형사소송법｣ 제326조 제1호의 면소판결을 선고할 수 없다.",O,
"<아래 〈범죄경력〉 중 1개가 있는 甲이 2023. 11. 10. 아래 〈범죄사실〉중 어느 1개 또는 수개의 죄로 공소제기되어 그 〈범죄사실〉이 인정되었다.
 
 〈범죄경력〉
 Ⓐ 2023. 4. 10. 서울중앙지방법원에서 상습절도죄로 벌금 500만 원을 선고받아 2023. 4. 18. 그 판결이 확정되었다.
 Ⓑ 2023. 5. 10. 서울중앙지방법원에서 절도죄로 징역 6월을 선고받아 2023. 5. 18. 그 판결이 확정되었다.
 
 〈범죄사실〉
 ㉠ 상습으로 2023. 2. 10.경 X 편의점에서 피해자 M 소유의 휴대전화 1대를 가지고 가 이를 절취하였다[상습절도].
 ㉡ 2023. 3. 8.경 Y 커피숍에서 피해자 N에게 “수일 내 유명 가상자산 거래소에 상장되는 가상자산이 있는데, 나에게 돈을 투자하면 수백 배 이상의 수익을 얻을 수 있다”라고 거짓말하여 2023. 3. 10.경 1,000만 원을 피해자 N으로부터 교부받아 이를 편취하였다[사기].
 ㉢ 2023. 6. 10.경 Z 유흥주점에서 피해자 O의 뺨을 수회 때리고 발로 다리를 걷어차 피해자를 폭행하였다[폭행].>
 Ⓐ범죄경력이 있는 甲이 ㉡죄로 기소된 경우, 판결이 확정된 Ⓐ죄와 사이에 ｢형법｣ 제37조 후단의 경합범 관계에 있다.",X,
"<아래 〈범죄경력〉 중 1개가 있는 甲이 2023. 11. 10. 아래 〈범죄사실〉중 어느 1개 또는 수개의 죄로 공소제기되어 그 〈범죄사실〉이 인정되었다.
 
 〈범죄경력〉
 Ⓐ 2023. 4. 10. 서울중앙지방법원에서 상습절도죄로 벌금 500만 원을 선고받아 2023. 4. 18. 그 판결이 확정되었다.
 Ⓑ 2023. 5. 10. 서울중앙지방법원에서 절도죄로 징역 6월을 선고받아 2023. 5. 18. 그 판결이 확정되었다.
 
 〈범죄사실〉
 ㉠ 상습으로 2023. 2. 10.경 X 편의점에서 피해자 M 소유의 휴대전화 1대를 가지고 가 이를 절취하였다[상습절도].
 ㉡ 2023. 3. 8.경 Y 커피숍에서 피해자 N에게 “수일 내 유명 가상자산 거래소에 상장되는 가상자산이 있는데, 나에게 돈을 투자하면 수백 배 이상의 수익을 얻을 수 있다”라고 거짓말하여 2023. 3. 10.경 1,000만 원을 피해자 N으로부터 교부받아 이를 편취하였다[사기].
 ㉢ 2023. 6. 10.경 Z 유흥주점에서 피해자 O의 뺨을 수회 때리고 발로 다리를 걷어차 피해자를 폭행하였다[폭행].>
 Ⓑ범죄경력이 있는 甲이 ㉡, ㉢죄로 기소된 경우, ㉡죄는 판결이 확정된 Ⓑ죄와 사이에 ｢형법｣ 제37조 후단의 경합범 관계에 있으므로, 법원은 ㉡, ㉢죄에 대해 동시에 판결을 선고할 때 ㉡죄에 관하여 1개, ㉢죄에 관하여 1개의 형을 각각 선고하여야 한다.",O,
"<아래 〈범죄경력〉 중 1개가 있는 甲이 2023. 11. 10. 아래 〈범죄사실〉중 어느 1개 또는 수개의 죄로 공소제기되어 그 〈범죄사실〉이 인정되었다.
 
 〈범죄경력〉
 Ⓐ 2023. 4. 10. 서울중앙지방법원에서 상습절도죄로 벌금 500만 원을 선고받아 2023. 4. 18. 그 판결이 확정되었다.
 Ⓑ 2023. 5. 10. 서울중앙지방법원에서 절도죄로 징역 6월을 선고받아 2023. 5. 18. 그 판결이 확정되었다.
 
 〈범죄사실〉
 ㉠ 상습으로 2023. 2. 10.경 X 편의점에서 피해자 M 소유의 휴대전화 1대를 가지고 가 이를 절취하였다[상습절도].
 ㉡ 2023. 3. 8.경 Y 커피숍에서 피해자 N에게 “수일 내 유명 가상자산 거래소에 상장되는 가상자산이 있는데, 나에게 돈을 투자하면 수백 배 이상의 수익을 얻을 수 있다”라고 거짓말하여 2023. 3. 10.경 1,000만 원을 피해자 N으로부터 교부받아 이를 편취하였다[사기].
 ㉢ 2023. 6. 10.경 Z 유흥주점에서 피해자 O의 뺨을 수회 때리고 발로 다리를 걷어차 피해자를 폭행하였다[폭행].>
 Ⓑ범죄경력이 있는 甲이 ㉡, ㉢죄로 기소된 경우, ㉡죄에 관하여 ｢형법｣ 제39조 제1항에 의하여 형을 감경할 때에도 법률상 감경에 관한 ｢형법｣ 제55조 제1항이 적용되어 유기징역을 감경할 때에는 그 형기의 2분의 1 미만으로는 감경할 수 없다.",O,
｢형법｣상 특수공무집행방해치상죄는 중한 결과에 대한 예견가능성이 있었음에도 불구하고 예견하지 못한 경우뿐만 아니라 고의가 있는 경우까지도 포함하는 부진정 결과적 가중범이다.,O,
"과실범에 있어서의 인식 없는 과실은 결과 발생의 가능성에 대한 인식 자체도 없는 경우로 그 결과 발생을 인식하지 못하였다는 데에 대한 부주의, 즉 규범적 실재로서의 과실 책임이 있다고 할 것이다.",O,
"건설회사가 건설공사 중 타워크레인의 설치작업을 전문업자에게 도급을 주어 타워크레인 설치작업을 하던 중 발생한 사고에 대하여, 건설회사의 현장대리인 甲에게 타워크레인의 설치작업을 관리하고 통제할 실질적인 지휘·감독 권한이 없었다면 업무상 주의의무를 위반한 과실이 있다고 볼 수 없다.",O,
"甲이 A에 대한 살인의 고의로 A가 자고 있는 집에 불을 놓아 불이 A의 집 안방 천장까지 붙었으나 A가 잠에서 깨어 집 밖으로 빠져나오는 바람에 살인의 목적을 달성하지 못하였다면, 甲은 현주건조물방화치사죄의 미수범으로 처벌된다.",X,현주건조물방화죄와 살인미수죄의 상상적 경합범.
"상해를 교사하였는데 피교사자가 이를 넘어 살인을 실행한 경우 교사자는 상해죄에 대한 교사범이 되는 것이고, 다만 이 경우 교사자에게 피해자의 사망이라는 결과에 대하여 과실 내지 예견가능성이 있는 때에는 상해죄의 교사범과 과실치사죄의 상상적 경합범이 된다.",X,
신고자가 허위라고 확신한 사실을 신고한 경우뿐만 아니라 진실하다는 확신 없는 사실을 신고하는 경우에도 무고죄의 범의를 인정할 수 있다.,O,
"타인으로 하여금 형사처분을 받게 할 목적으로 공무소에 대하여 허위의 사실을 신고하였다고 하더라도, 그 사실이 친고죄로서 그에 대한 고소기간이 경과하여 공소를 제기할 수 없음이 그 신고내용 자체에 의하여 분명한 때에는 무고죄가 성립하지 아니한다.",O,
"허위로 신고한 사실이 무고행위 당시 형사처분의 대상이 될 수 있었던 경우에는 무고죄가 성립하고, 이후 그러한 사실이 형사범죄가 되지 않는 것으로 판례가 변경되었더라도 특별한 사정이 없는 한 이미 성립한 무고죄에는 영향을 미치지 않는다.",O,
"甲이 A사건의 제9회 공판기일에 증인으로 출석하여 한 허위 진술이 철회·시정된 바 없이 증인신문절차가 그대로 종료되었다가, 그 후 甲이 제21회 공판기일에 다시 출석하여 종전 선서의 효력이 유지됨을 고지받고 증언하면서 종전 기일에 한 진술이 허위 진술임을 시인하고 이를 철회하는 취지의 진술을 하였다면, 甲에게는 위증죄가 성립하지 않는다.",X,
"변호인 甲이 A의 감형을 받기 위해서 A의 은행 계좌에서 B 회사 명의의 은행 계좌로 금원을 송금하고 다시 되돌려 받는 행위를 반복한 후 그중 송금자료만을 발급받아서 이를 2억 원을 변제하였다는 허위 주장과 함께 법원에 제출한 경우, 甲에게는 증거위조죄가 성립하지 않는다.",O,
영국인이 미국 영해에서 운항 중인 대한민국 국적의 선박에서 미국인을 살해한 경우에는 우리나라 ｢형법｣이 적용된다.,O,
일본인이 행사할 목적으로 중국에서 미화 100달러 지폐를 위조한 경우에는 우리나라 ｢형법｣이 적용된다.,O,"형법 제5조(외국인의 국외범) 본법은 대한민국영역외에서 다음에 기재한 죄를 범한 외국인에게 적용한다.
 4. 통화에 관한 죄
 제207조(통화의 위조 등) ③행사할 목적으로 외국에서 통용하는 외국의 화폐, 지폐 또는 은행권을 위조 또는 변조한 자는 10년 이하의 징역에 처한다."
우리나라 ｢형법｣상 약취·유인 및 인신매매의 죄는 그 예비·음모를 제외하고 우리나라 영역 밖에서 죄를 범한 외국인에게도 적용된다.,O,
중국인이 우리나라로 입국하기 위하여 중국에 소재한 우리나라 영사관에서 그곳에 비치된 여권발급신청서를 위조한 경우 보호주의에 의하여 우리나라 ｢형법｣이 적용된다.,X,"형법의 적용에 관하여 같은 법 제2조는 대한민국 영역 내에서 죄를 범한 내국인과 외국인에게 적용한다고 규정하고 있으며, 같은 법 제6조 본문은 대한민국 영역 외에서 대한민국 또는 대한민국 국민에 대하여 같은 법 제5조에 기재한 이외의 죄를 범한 외국인에게 적용한다고 규정하고 있는바, 중국 북경시에 소재한 대한민국 영사관 내부는 여전히 중국의 영토에 속할 뿐 이를 대한민국의 영토로서 그 영역에 해당한다고 볼 수 없을 뿐 아니라, 사문서위조죄가 형법 제6조의 대한민국 또는 대한민국 국민에 대하여 범한 죄에 해당하지 아니함은 명백하다.
 따라서 원심이 내국인이 아닌 피고인이 위 영사관 내에서 공소외인 명의의 여권발급신청서 1장을 위조하였다는 취지의 공소사실에 대하여 외국인의 국외범에 해당한다는 이유로 피고인에 대한 재판권이 없다고 판단한 것은 옳고, 거기에 상고이유의 주장과 같이 재판권에 관한 법리오해 등의 잘못은 없다(2006도5010)."
범죄에 의하여 외국에서 형의 전부 또는 일부의 집행을 받은 자에 대하여는 그 형을 감경 또는 면제할 수 있다.,X,형법 제7조(외국에서 집행된 형의 산입) 죄를 지어 외국에서 형의 전부 또는 일부가 집행된 사람에 대해서는 그 집행된 형의 전부 또는 일부를 선고하는 형에 산입한다.
업무수행 자체가 아니라 업무의 적정성 내지 공정성이 방해된 경우에는 업무방해죄가 성립하지 않는다.,X,
공인중개사가 아닌 사람이 영위하는 중개업을 위력으로 방해한 경우 업무방해죄가 성립하지 않는다.,O,
"｢형법｣ 제314조 제2항의 컴퓨터등장애업무방해죄가 성립하기 위해서는 정보처리에 장애가 현실적으로 발생하였을 것을 요하나, 정보처리에 장애를 발생하게 하여 업무방해의 결과를 초래할 위험이 발생한 이상, 업무방해의 결과가 실제로 발생하지 않더라도 위 죄가 성립한다.",O,
"경찰청 민원실에서 민원인들이 진정사건의 처리와 관련하여 경찰청장과의 면담 등을 요구하면서 이를 제지하는 경찰관들에게 큰소리로 욕설을 하고 행패를 부린 행위에 대하여, 업무방해죄가 성립하지 않는다.",O,
위력에 의한 업무방해죄는 위력에 의해 현실적으로 피해자의 자유의사가 제압되지 않은 경우에도 성립할 수 있다.,O,
"작위의무는 법적인 의무이어야 하므로 법령, 법률행위, 선행행위로 인한 경우에는 법적인 작위의무가 인정되나, 기타 신의성실의 원칙이나 사회상규 혹은 조리상 작위의무가 기대되는 경우에는 법적인 작위의무를 인정할 수 없다.",X,
부진정 부작위범의 고의는 반드시 구성요건적 결과 발생에 대한 목적이나 계획적인 범행 의도가 있어야 한다.,X,
"업무상배임죄는 부작위에 의해서도 성립할 수 있는바, 그러한 부작위를 실행의 착수로 볼 수 있기 위해서는 작위의무가 이행되지 않으면 사무처리의 임무를 부여한 사람이 재산권을 행사할 수 없으리라고 객관적으로 예견되는 등으로 구성요건적 결과 발생의 위험이 구체화한 상황에서 부작위가 이루어져야 한다.",O,
중고 자동차 매매에 있어서 매도인의 할부금융회사 또는 보증보험에 대한 할부금채무가 매수인에게 당연히 승계되므로 그 할부금 채무의 존재를 매수인에게 고지하지 아니한 경우 부작위에 의한 기망에 해당한다.,X,
부작위범 사이의 공동정범은 다수의 부작위범에게 공통된 의무가 부여되어 있고 그 의무를 공통으로 이행할 수 있을 때에만 성립한다.,O,
"<甲이 절도의 고의로 이웃집에 담을 넘어 들어갔다가 훔칠 물건을 찾을 새도 없이 때마침 귀가한 A에게 곧바로 발각되었다. A가 甲을 향해 “너, 누구야?”라고 소리치며 붙잡으려 하자, 甲이 도망치기 위해 A를 폭행하였다.>
 위 사례가 주간에 발생했다면, 甲에게 절도미수죄가 성립한다.",X,
"<甲이 절도의 고의로 이웃집에 담을 넘어 들어갔다가 훔칠 물건을 찾을 새도 없이 때마침 귀가한 A에게 곧바로 발각되었다. A가 甲을 향해 “너, 누구야?”라고 소리치며 붙잡으려 하자, 甲이 도망치기 위해 A를 폭행하였다.>
 위 사례가 주간에 발생했고, 甲이 담을 넘어 들어갈 때 범행에 사용할 의도로 칼을 소지하고 있었다고 하더라도, 실제 甲이 A를 폭행할 때 칼을 사용하지 않았다면 특수주거침입죄나 특수폭행죄는 성립하지 않는다.",X,
"<甲이 절도의 고의로 이웃집에 담을 넘어 들어갔다가 훔칠 물건을 찾을 새도 없이 때마침 귀가한 A에게 곧바로 발각되었다. A가 甲을 향해 “너, 누구야?”라고 소리치며 붙잡으려 하자, 甲이 도망치기 위해 A를 폭행하였다.>
 위 사례가 야간에 발생했다면, 甲에게 준강도기수죄가 성립한다.",X,준강도미수죄가 성립한다.
"<甲이 절도의 고의로 이웃집에 담을 넘어 들어갔다가 훔칠 물건을 찾을 새도 없이 때마침 귀가한 A에게 곧바로 발각되었다. A가 甲을 향해 “너, 누구야?”라고 소리치며 붙잡으려 하자, 甲이 도망치기 위해 A를 폭행하였다.>
 위 사례가 야간에 발생했고, 甲이 A를 폭행한 후 곧이어 뒤따라 온 B에게 붙잡히게 되자 도망치기 위해 B에게 상해를 가한 경우, 甲에게는 포괄하여 하나의 강도상해죄가 성립한다.",O,"준강도의 주체는 절도 즉 절도범인으로, 절도의 실행에 착수한 이상 미수이거나 기수이거나 불문하고, 야간에 타인의 재물을 절취할 목적으로 사람의 주거에 침입한 경우에는 주거에 침입한 단계에서 이미 형법 제330조에서 규정한 야간주거침입절도죄라는 범죄행위의 실행에 착수한 것이라고 보아야 하며, 주거침입죄의 경우 주거침입의 범의로써 예컨대, 주거로 들어가는 문의 시정장치를 부수거나 문을 여는 등 침입을 위한 구체적 행위를 시작하였다면 주거침입죄의 실행의 착수는 있었다고 보아야 한다(2003도4417).
 절도범이 체포를 면탈할 목적으로 체포하려는 여러 명의 피해자에게 같은 기회에 폭행을 가하여 그 중 1인에게만 상해를 가하였다면 이러한 행위는 포괄하여 하나의 강도상해죄만 성립한다(2001도3447)."
"<甲이 절도의 고의로 이웃집에 담을 넘어 들어갔다가 훔칠 물건을 찾을 새도 없이 때마침 귀가한 A에게 곧바로 발각되었다. A가 甲을 향해 “너, 누구야?”라고 소리치며 붙잡으려 하자, 甲이 도망치기 위해 A를 폭행하였다.>
 위 사례와는 별도로, 甲이 차량 내부의 물건을 훔치려고 하다가 혹시라도 발각되었을 때 체포를 면탈하는 데 도움이 될 수 있을 것이라는 생각에서 칼을 소지하고 심야에 인적이 드문 길가에 주차된 차량들을 살피던 중 적발된 경우, 甲에게 강도예비죄가 성립한다.",X,
"뇌물죄에서 뇌물의 내용인 이익이라 함은 금전, 물품 기타의 재산적 이익뿐만 아니라 사람의 수요·욕망을 충족시키기에 족한 일체의 유형·무형의 이익을 포함하므로, 제공된 것이 성적 욕구의 충족이라고 하여 달리 볼 것이 아니다.",O,
