문제,정답,해설
"여러 피해자들에게 단일한 범의와 방법으로 기망행위를 하여 각 피해자로부터 재물을 편취한 경우, 피해자들의 피해법익이 동일하다고 볼 수 있는 때라면 이들에 대한 사기죄의 포괄일죄로 볼 수 있다.",O,다수의 피해자에 대하여 각각 기망행위를 하여 각 피해자로부터 재물을 편취한 경우에는 범의가 단일하고 범행방법이 동일하더라도 각 피해자의 피해법익은 독립한 것이므로 이를 포괄일죄로 파악할 수 없고 피해자별로 독립한 사기죄가 성립된다. 다만 피해자들의 피해법익이 동일하다고 볼 수 있는 사정이 있는 경우에는 이들에 대한 사기죄를 포괄하여 일죄로 볼 수 있다(2023도13514).
"상상적 경합은 1개의 행위가 여러 개의 죄에 해당하는 경우인데, 여기서 1개의 행위는 법적 평가를 기초로 하여 사회 관념상 행위가 사물자연의 상태로서 1개로 평가되는 것을 뜻한다.",X,상상적 경합은 1개의 행위가 수개의 죄에 해당하는 경우를 말한다(형법 제40조). 여기에서 1개의 행위라 함은 법적 평가를 떠나 사회관념상 행위가 사물자연의 상태로서 1개로 평가되는 것을 의미한다(2017도11687).
"포괄일죄 관계인 범행의 일부에 대하여 확정판결이 있은 후, 그 사실심 판결선고 이전에 이루어진 범행이 포괄일죄의 일부에 해당하고 그와 상상적 경합관계에 있는 다른 죄에도 해당하는 경우, 확정판결의 기판력은 위와 같이 상상적 경합관계에 있는 다른 죄에 대하여도 미친다.",O,"포괄일죄 관계인 범행의 일부에 대하여 판결이 확정된 경우에는 사실심 판결선고시를 기준으로, 약식명령이 확정된 경우에는 약식명령 발령시를 기준으로, 그 이전에 이루어진 범행에 대하여는 확정판결의 기판력이 미친다. 또한 상상적 경합범 중 1죄에 대한 확정판결의 기판력은 다른 죄에 대하여도 미친다. 따라서 포괄일죄 관계인 범행의 일부에 대하여 판결이 확정되거나 약식명령이 확정되었는데 그 사실심 판결선고시 또는 약식명령 발령시를 기준으로 그 이전에 이루어진 범행이 포괄일죄의 일부에 해당할 뿐만 아니라 그와 상상적 경합관계에 있는 다른 죄에도 해당하는 경우에는 확정된 판결 내지 약식명령의 기판력은 위와 같이 상상적 경합관계에 있는 다른 죄에 대하여도 미친다(2020도3705)."
타인의 물건을 보관하고 있는 자를 교사하여 자신에게 보관물을 팔아넘기도록 한 행위는 횡령교사죄와 장물취득죄의 상상적 경합범에 해당한다.,X,"피고인이 위의 공동 피고인들에게 횡령할 것을 교사하고 그 횡령한 물건을 취득한 것이라면 위와 같은 피고인 의 소위는 횡령교사 죄와 장물취득 죄가 [실체적] 경합범으로서 성립된다할 것인 바, 본건 공소장에 의하면, 검사는 위의 범죄사실중 장물취득죄만을(그 위에 명령위반죄에 대하여도 공소를 하였다) 기소하였음이 명백한 즉 원심이 위와 같은 공소사실에 의하여 장물취득죄만을 인정하였다하여 위법이라 할 수 없으므로 위와 반대된 견해로서 원판결을 공격하는 논지는 이유없다(69도692)."
"포괄일죄로 되는 개개의 범죄행위가 법 개정 전후에 걸쳐서 행하여진 경우, 신·구법의 법정형에 대한 경중을 비교한 후 더 경한 법을 적용하여 포괄일죄로 처단하여야 한다.",X,포괄일죄로 되는 개개의 범죄행위가 법 개정의 전후에 걸쳐서 행하여진 경우에는 신·구법의 법정형에 대한 경중을 비교하여 볼 필요도 없이 범죄 실행 종료시의 법이라고 할 수 있는 신법을 적용하여 포괄일죄로 처단하여야 하는 것(97도183)...
"<甲은 A의 연인으로 보이는 B가 자신이 흠모하는 A를 껴안으려 하는 것을 보고 분을 참지 못해 해코지를 하려는 의도로 B를 때려 상해를 가하였다. 그러나 실제로 당시 B는 A를 추행하려는 목적으로 껴안으려 했던 것이기에 甲의 행위는 B의 강제추행을 막은 것이었다.>
 甲의 행위는 상해죄의 구성요건에 해당하나 위법성 인식이 결여되어 있다.",X,오상방위 사안이 아닌 우연방위 사안이므로 위법성의 인식이 결여되어 있다고 볼 수 없다.
"<甲은 A의 연인으로 보이는 B가 자신이 흠모하는 A를 껴안으려 하는 것을 보고 분을 참지 못해 해코지를 하려는 의도로 B를 때려 상해를 가하였다. 그러나 실제로 당시 B는 A를 추행하려는 목적으로 껴안으려 했던 것이기에 甲의 행위는 B의 강제추행을 막은 것이었다.>
 위법성조각을 위해 주관적 정당화요소가 필요하지 않다는 견해에 따르면 甲의 행위는 상해죄의 기수범이 성립한다.",X,"위 견해에 따르면 객관적 정당화요소만 존재하면 주관적 정당화요소가 없더라도 위법성이 조각된다. 사안의 경우 객관적 정당화요소가 존재하므로, 甲의 행위는 위법성이 조각되어 상해죄를 구성하지 않는다."
"<甲은 A의 연인으로 보이는 B가 자신이 흠모하는 A를 껴안으려 하는 것을 보고 분을 참지 못해 해코지를 하려는 의도로 B를 때려 상해를 가하였다. 그러나 실제로 당시 B는 A를 추행하려는 목적으로 껴안으려 했던 것이기에 甲의 행위는 B의 강제추행을 막은 것이었다.>
 판례는 정당방위로서 위법성이 조각되기 위해서 행위자에게 정당방위상황에 대한 인식만 있으면 충분하고 정당방위에 대한 의사까지 필요한 것은 아니라고 본다.",X,"형법 제20조[주: ""제21조""의 오기로 보임] 제1항 소정의 정당방위가 성립하기 위하여는 행위자에게 방위의사가 있어야 하고 그 방위행위가 행위 당시의 사정으로 보아서 상당성이 있어야 함은 소론과 같으나(80도800)…"
"<甲은 A의 연인으로 보이는 B가 자신이 흠모하는 A를 껴안으려 하는 것을 보고 분을 참지 못해 해코지를 하려는 의도로 B를 때려 상해를 가하였다. 그러나 실제로 당시 B는 A를 추행하려는 목적으로 껴안으려 했던 것이기에 甲의 행위는 B의 강제추행을 막은 것이었다.>
 甲의 행위를 상해죄의 불능미수로 해결하려는 견해는 법익침해의사는 유지되는 반면에 법질서가 침해되는 결과로 나아가지 않았음을 주된 근거로 한다.",O,"불능미수범설은 우연방위의 경우 객관적으로는 정당방위 상황이어서 결과반가치가 소멸하였으나, 행위자의 주관적 범죄 의사(행위반가치)는 남아 있으므로, 불능미수의 규정을 유추적용하여 처벌해야 한다는 견해이다."
"<甲은 A의 연인으로 보이는 B가 자신이 흠모하는 A를 껴안으려 하는 것을 보고 분을 참지 못해 해코지를 하려는 의도로 B를 때려 상해를 가하였다. 그러나 실제로 당시 B는 A를 추행하려는 목적으로 껴안으려 했던 것이기에 甲의 행위는 B의 강제추행을 막은 것이었다.>
 판례에 따르면 B가 A를 추행하려는 상황이었음을 甲이 몰랐던 것에 ‘정당한 이유’가 있는 경우라면 위법성이 조각된다.",X,"판례에 따르면 형법 제21조 제1항 소정의 정당방위가 성립하기 위하여는 행위자에게 방위의사가 있어야 하므로, '정당한 이유' 여부를 불문하고 방위의사가 없는 甲의 행위의 위법성은 조각되지 않는다."
