문제,정답,해설
법률의 시행령이 형사처벌에 관한 사항을 명확히 규정하고 있다면 법률의 명시적인 위임범위를 벗어나 처벌의 대상을 확장하더라도 죄형법정주의에 어긋나는 것은 아니다.,X,"법률의 시행령은 모법인 법률의 위임 없이 법률이 규정한 개인의 권리·의무에 관한 내용을 변경·보충하거나 법률에서 규정하지 아니한 새로운 내용을 규정할 수 없고, 특히 법률의 시행령이 형사처벌에 관한 사항을 규정하면서 법률의 명시적인 위임 범위를 벗어나 그 처벌의 대상을 확장하는 것은 죄형법정주의의 원칙에도 어긋나므로, 그러한 시행령은 위임입법의 한계를 벗어난 것으로서 무효이다(2015도14966)."
처벌법규의 구성요건이 서술적 개념으로 규정되어 있지 않다면 이는 죄형법정주의에서 파생되는 명확성의 원칙에 어긋난다.,X,"죄형법정주의의 원칙에서 파생되는 명확성의 원칙은 법률이 처벌하고자 하는 행위가 무엇이며 그에 대한 형벌이 어떠한 것인지를 누구나 예견할 수 있고, 그에 따라 자신의 행위를 결정할 수 있도록 구성요건을 명확하게 규정하는 것을 의미한다. 그러나 처벌법규의 구성요건이 명확하여야 한다고 하여 모든 구성요건을 단순한 서술적 개념으로 규정하여야 하는 것은 아니고, 다소 광범위하여 법관의 보충적인 해석을 필요로 하는 개념을 사용하였다고 하더라도 통상의 해석방법에 의하여 건전한 상식과 통상적인 법감정을 가진 사람이면 당해 처벌법규의 보호법익과 금지된 행위 및 처벌의 종류와 정도를 알 수 있도록 규정하였다면 처벌법규의 명확성에 배치되는 것이 아니다(2013도12939)."
"｢형사소송법｣ 제33조(국선변호인)에 규정된 법원이 직권으로 변호인을 선정하여야 할 사유 중 하나인 ‘피고인이 구속된 때’의 의미에 피고인이 해당 형사사건이 아닌 별개의 사건, 즉 별건으로 구속되어 있거나 다른 형사사건에서 유죄로 확정되어 수형 중인 경우도 포함된다고 보는 것은 문언해석의 한계를 벗어나지 않는다.",O,2021도6357
형면제 사유에 관하여 범위를 제한적으로 유추적용하는 것은 죄형법정주의에 어긋나지 않는다.,X,"형벌법규의 해석에 있어서 법규정 문언의 가능한 의미를 벗어나는 경우에는 유추해석으로서 죄형법정주의에 위반하게 된다. 그리고 유추해석금지의 원칙은 모든 형벌법규의 구성요건과 가벌성에 관한 규정에 준용되는데, 위법성 및 책임의 조각사유나 소추조건, 또는 처벌조각사유인 형면제 사유에 관하여 그 범위를 제한적으로 유추적용하게 되면 행위자의 가벌성의 범위는 확대되어 행위자에게 불리하게 되는바, 이는 가능한 문언의 의미를 넘어 범죄구성요건을 유추적용하는 것과 같은 결과가 초래되므로 죄형법정주의의 파생원칙인 유추해석금지의 원칙에 위반하여 허용될 수 없다(96도1167)."
정보통신망을 이용한 명예훼손죄는 사실적시 행위를 공공연하게 할 것을 요구하므로 특정 개인이나 소수에게 말하여 그로 인해 불특정 또는 다수인에게 전파가능성이 있다는 이유로 공연성을 인정하는 것은 죄형법정주의에서 금지하는 유추해석에 해당한다.,X,"대법원은 명예훼손죄의 공연성에 관하여 개별적으로 소수의 사람에게 사실을 적시하였더라도 그 상대방이 불특정 또는 다수인에게 적시된 사실을 전파할 가능성이 있는 때에는 공연성이 인정된다고 일관되게 판시하여, 이른바 전파가능성 이론은 공연성에 관한 확립된 법리로 정착되었다. 이러한 법리는 정보통신망법상 정보통신망을 이용한 명예훼손이나 공직선거법상 후보자비방죄 등의 공연성 판단에도 동일하게 적용되어, 적시한 사실이 허위인지 여부나 특별법상 명예훼손 행위인지 여부에 관계없이 명예훼손 범죄의 공연성에 관한 대법원 판례의 기본적 법리로 적용되어 왔다. 공연성에 관한 전파가능성 법리는 대법원이 오랜 시간에 걸쳐 발전시켜 온 것으로서 현재에도 여전히 법리적으로나 현실적인 측면에 비추어 타당하므로 유지되어야 한다(2020도5813)."
"여러 사람의 권리의 목적이 된 자기의 물건을 취거, 은닉 또는 손괴함으로써 그 여러 사람의 권리행사를 방해하였다면 권리자별로 각각 권리행사방해죄가 성립하고, 각 죄는 실체적 경합의 관계에 있다.",X,각 죄는 서로 상상적 경합범의 관계에 있다(2021도16876).
타인의 부동산을 보관 중인 자가 불법영득의사를 가지고 그 부동산에 근저당권설정등기를 경료한 후 같은 부동산에 별개의 근저당권을 설정한 행위는 특별한 사정이 없는 한 횡령죄의 불가벌적 사후행위에 해당한다.,X,"타인의 부동산을 보관 중인 자가 불법영득의사를 가지고 그 부동산에 근저당권설정등기를 경료함으로써 일단 횡령행위가 기수에 이르렀다 하더라도 그 후 같은 부동산에 별개의 근저당권을 설정하여 새로운 법익침해의 위험을 추가함으로써 법익침해의 위험을 증가시키거나 해당 부동산을 매각함으로써 기존의 근저당권과 관계없이 법익침해의 결과를 발생시켰다면, 이는 당초의 근저당권 실행을 위한 임의경매에 의한 매각 등 그 근저당권으로 인해 당연히 예상될 수 있는 범위를 넘어 새로운 법익침해의 위험을 추가시키거나 법익침해의 결과를 발생시킨 것이므로 특별한 사정이 없는 한 불가벌적 사후행위로 볼 수 없고, 별도로 횡령죄를 구성한다(2010도10500)."
"범죄 피해 신고를 받고 출동한 두 명의 경찰관에게 같은 장소에서 욕설을 하면서 한 명의 경찰관을 먼저 폭행하고 곧이어 이를 제지하는 다른 경찰관을 폭행하여 수사 업무에 관한 정당한 직무집행을 방해한 때에는 2개의 공무집행방해죄가 성립하고, 두 공무집행방해죄는 상상적 경합의 관계에 있다.",O,"동일한 공무를 집행하는 여럿의 공무원에 대하여 폭행·협박 행위가 이루어진 경우에는 공무를 집행하는 공무원의 수에 따라 여럿의 공무집행방해죄가 성립하고, 위와 같은 폭행·협박 행위가 동일한 장소에서 동일한 기회에 이루어진 것으로서 사회관념상 1개의 행위로 평가되는 경우에는 여럿의 공무집행방해죄는 상상적 경합의 관계에 있다고 할 것이다(2009도3505)."
피해자에 대한 폭행행위가 동일한 피해자에 대한 업무방해죄의 수단이 된 경우 그러한 폭행행위는 불가벌적 수반행위에 해당하여 업무방해죄에 대하여 흡수관계에 있다.,X,"업무방해죄와 폭행죄는 구성요건과 보호법익을 달리하고 있고, 업무방해죄의 성립에 일반적·전형적으로 사람에 대한 폭행행위를 수반하는 것은 아니며, 폭행행위가 업무방해죄에 비하여 별도로 고려되지 않을 만큼 경미한 것이라고 할 수도 없으므로, 설령 피해자에 대한 폭행행위가 동일한 피해자에 대한 업무방해죄의 수단이 되었다고 하더라도 그러한 폭행행위가 이른바 ‘불가벌적 수반행위’에 해당하여 업무방해죄에 대하여 흡수관계에 있다고 볼 수는 없다(상상적 경합; 2012도1895)."
고의로 법령을 잘못 적용하여 공문서를 작성하였다고 하더라도 그 법령적용의 전제가 된 사실관계에 대한 내용에 거짓이 없다면 허위공문서작성죄가 성립될 수 없다.,O,"허위공문서작성죄란 공문서에 진실에 반하는 기재를 하는 때에 성립하는 범죄이므로, 고의로 법령을 잘못 적용하여 공문서를 작성하였다고 하더라도 그 법령적용의 전제가 된 사실관계에 대한 내용에 거짓이 없다면 허위공문서작성죄가 성립될 수 없다(2000도1858)."
